ts_us,iface,length,payload_len,direction,eth_type,src_mac,dst_mac,ip_version,protocol,src_ip,dst_ip,src_port,dst_port,tcp_flags,flow_key,payload_sample
1760903517368227,Ethernet,1262,1208,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,PA,192.168.1.117:50151-212.102.113.127:443-TCP,17030304b32e6117f0e0b854a5d499b7f6d2ee2e4d87fd358695e6bc9cf5c574
1760903517368316,Ethernet,172,118,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,PA,192.168.1.117:50151-212.102.113.127:443-TCP,17030300714223bbcc3f1c9d59b8b649d970b3fa3c465811b0dff396241090ce
1760903517369596,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,31.57.117.1,58089.0,443.0,A,192.168.1.117:58089-31.57.117.1:443-TCP,
1760903517413150,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517431803,Ethernet,55,1,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50079.0,443.0,A,192.168.1.117:50079-212.102.113.127:443-TCP,00
1760903517476126,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50079.0,A,212.102.113.127:443-192.168.1.117:50079-TCP,
1760903517478923,Ethernet,1262,1208,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,PA,212.102.113.127:443-192.168.1.117:50151-TCP,17030304b3ffa03e4ca15a44f7617570a4a54ee3ae90d1ed97a226344f263a1f
1760903517479064,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,170303095551a62f8a3ee5a3a868e1ebb0af6d040ac17a1fc0427be3c0a1bc7d
1760903517479064,Ethernet,988,934,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,PA,212.102.113.127:443-192.168.1.117:50151-TCP,50c1e62568faeb8eba7de00b11ae47f0a8e54f9383bd90460bdb070670b7a552
1760903517479181,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,A,192.168.1.117:50151-212.102.113.127:443-TCP,
1760903517479228,Ethernet,905,851,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,PA,212.102.113.127:443-192.168.1.117:50151-TCP,170303034e0204a5ec04206306db1e1c401171d30c4c1d0cb7c07435921d801e
1760903517479279,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,A,192.168.1.117:50151-212.102.113.127:443-TCP,
1760903517524652,Ethernet,1514,1460,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,A,192.168.1.117:50151-212.102.113.127:443-TCP,17030305e8d08e14697603285688f42bd76d528d1052a42f5053daf0ac093c6f
1760903517524682,Ethernet,111,57,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,PA,192.168.1.117:50151-212.102.113.127:443-TCP,6ef44720af7f4f25576d2019c3e8fd278929807b649c55f15f0b17b30393ac2d
1760903517524709,Ethernet,1509,1455,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,PA,192.168.1.117:50151-212.102.113.127:443-TCP,17030305aa4bd51a24c50f3578f275f36950ab5351492bff696b4d318c55a473
1760903517569714,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517569714,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517610027,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517647228,Ethernet,55,1,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,49930.0,443.0,A,192.168.1.117:49930-212.102.113.127:443-TCP,00
1760903517682288,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,17030305f8f6d90cd599cb3dfac95debc4857c79d8d4e3c0442a3a58a339b4af
1760903517682288,Ethernet,127,73,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,PA,212.102.113.127:443-192.168.1.117:50151-TCP,a39f19300765d4758796d8c440e0b531f1768bdc06313718b4db5e9f11f3c026
1760903517682392,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,A,192.168.1.117:50151-212.102.113.127:443-TCP,
1760903517682750,Ethernet,327,273,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,PA,212.102.113.127:443-192.168.1.117:50151-TCP,170303010c3517d2acc8693f904e19fddbedc069c095722d26ac67653a5e2473
1760903517688510,Ethernet,60,0,in,0x0806,50:ff:20:5b:3a:9e,ff:ff:ff:ff:ff:ff,,,,,,,,,
1760903517688556,Ethernet,60,0,in,0x0806,50:ff:20:5b:3a:9e,ff:ff:ff:ff:ff:ff,,,,,,,,,
1760903517688699,Ethernet,60,0,in,0x0806,50:ff:20:5b:3a:9e,ff:ff:ff:ff:ff:ff,,,,,,,,,
1760903517694566,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,49930.0,A,212.102.113.127:443-192.168.1.117:49930-TCP,
1760903517723124,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,A,192.168.1.117:50151-212.102.113.127:443-TCP,
1760903517740468,Ethernet,1188,1134,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,PA,192.168.1.117:50151-212.102.113.127:443-TCP,1703030469617ef9eaf5d98bfba0e7a9ac19a552b91fdd7f4295b5940c9a3bb5
1760903517785008,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,A,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517785384,Ethernet,78,24,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,PA,212.102.113.127:443-192.168.1.117:50151-TCP,1703030013e85360334fbb32f686f5efc7ebaa671831a07e
1760903517785384,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,FA,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517785609,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,A,192.168.1.117:50151-212.102.113.127:443-TCP,
1760903517785908,Ethernet,78,24,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,PA,192.168.1.117:50151-212.102.113.127:443-TCP,170303001397bed86e15be449945a022c1d1ca6439bdf05f
1760903517786019,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50151.0,443.0,FA,192.168.1.117:50151-212.102.113.127:443-TCP,
1760903517830448,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50151.0,R,212.102.113.127:443-192.168.1.117:50151-TCP,
1760903517891715,Ethernet,55,1,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50031.0,443.0,A,192.168.1.117:50031-212.102.113.127:443-TCP,00
1760903517937262,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50031.0,A,212.102.113.127:443-192.168.1.117:50031-TCP,
1760903517999053,Ethernet,55,1,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,49266.0,443.0,A,192.168.1.117:49266-212.102.113.127:443-TCP,00
1760903518043436,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,49266.0,A,212.102.113.127:443-192.168.1.117:49266-TCP,
1760903518057173,Ethernet,1514,1460,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,PA,192.168.1.117:50051-212.102.113.127:443-TCP,1703030931be75ae7ba9660a6b646b378ed604094b5ccee7535b60468061f8ce
1760903518057444,Ethernet,952,898,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,PA,192.168.1.117:50051-212.102.113.127:443-TCP,ec63056f2b48b0fb37a3ca11950e56a13fd54ebaae0fe616623c89e3a0b94e47
1760903518057565,Ethernet,1514,1460,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,PA,192.168.1.117:50051-212.102.113.127:443-TCP,17030306c995c5006bb77462276fe12e52dc6593117685938cba4c8b89927f7e
1760903518057681,Ethernet,336,282,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,PA,192.168.1.117:50051-212.102.113.127:443-TCP,0387be8414140b9277b9ab88242d9b85d973912632fe9a7981bbb2746a04aa6c
1760903518102212,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,A,212.102.113.127:443-192.168.1.117:50051-TCP,
1760903518105011,Ethernet,1029,975,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,PA,212.102.113.127:443-192.168.1.117:50051-TCP,17030303ca9fafe1eaa5daede9536ff3182261519977fe7546db1907b2164d71
1760903518105215,Ethernet,538,484,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50051.0,PA,212.102.113.127:443-192.168.1.117:50051-TCP,17030300141b538c28cf0470fc072cf20ac6f9eb5d97d7444917030300154ade
1760903518105312,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50051.0,443.0,A,192.168.1.117:50051-212.102.113.127:443-TCP,
1760903518198567,Ethernet,78,24,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,49812.0,443.0,PA,192.168.1.117:49812-212.102.113.127:443-TCP,17030300133af0b5be7b80543c796ae79e8576565a4496a6
1760903518198723,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,49812.0,443.0,FA,192.168.1.117:49812-212.102.113.127:443-TCP,
1760903518243636,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,49812.0,A,212.102.113.127:443-192.168.1.117:49812-TCP,
1760903518244158,Ethernet,256,202,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,49812.0,PA,212.102.113.127:443-192.168.1.117:49812-TCP,17030300c5de8ed7aff72eaa600aa6adb26394a9755d4fababf14fc940740401
1760903518244440,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,49812.0,443.0,RA,192.168.1.117:49812-212.102.113.127:443-TCP,
1760903518299638,Ethernet,66,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,S,192.168.1.117:50153-212.102.113.127:443-TCP,
1760903518345037,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,SA,212.102.113.127:443-192.168.1.117:50153-TCP,
1760903518345406,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,A,192.168.1.117:50153-212.102.113.127:443-TCP,
1760903518348306,Ethernet,646,592,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,PA,192.168.1.117:50153-212.102.113.127:443-TCP,160301024b010002470303be9dfa5d04f1195931459e8cce5614c929ff4ebe98
1760903518372925,Ethernet,316,262,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,31.57.117.1,192.168.1.117,443.0,58089.0,PA,31.57.117.1:443-192.168.1.117:58089-TCP,170303010190f319b04c1a1248e59c776b9bb2fae6428caa54b4467523d8f568
1760903518393218,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,A,212.102.113.127:443-192.168.1.117:50153-TCP,
1760903518408996,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,A,212.102.113.127:443-192.168.1.117:50153-TCP,160303007a020000760303c5694b55d2bcab786c2c84976d0bd509bddb875dcf
1760903518409130,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,A,212.102.113.127:443-192.168.1.117:50153-TCP,a36d341d2492b3519e5ea8069d09f529ca0c62bfc1ec88880d0b402335b7e9e8
1760903518409186,Ethernet,66,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,A,192.168.1.117:50153-212.102.113.127:443-TCP,
1760903518409232,Ethernet,1514,1460,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,PA,212.102.113.127:443-192.168.1.117:50153-TCP,237fc29e21e57ab8d689853efe5788e8859606eb7fa9c1fcd12a8517ec3ddcbb
1760903518409232,Ethernet,754,700,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,PA,212.102.113.127:443-192.168.1.117:50153-TCP,0e6652091829642452f4ff2f183339e021ba25f19bb5409ff17b6391f3f19f53
1760903518409292,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,A,192.168.1.117:50153-212.102.113.127:443-TCP,
1760903518409325,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,A,192.168.1.117:50153-212.102.113.127:443-TCP,
1760903518410319,Ethernet,118,64,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,PA,192.168.1.117:50153-212.102.113.127:443-TCP,140303000101170303003504ceedbbef4e0684e9c2aa8d5f3d6bbd3864551388
1760903518410743,Ethernet,417,363,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50153.0,443.0,PA,192.168.1.117:50153-212.102.113.127:443-TCP,17030301665a7f145bd017e97b3530d3eaa12a8c19131fe3b85a910a8fb9cb44
1760903518413912,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,31.57.117.1,58089.0,443.0,A,192.168.1.117:58089-31.57.117.1:443-TCP,
1760903518455580,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50153.0,A,212.102.113.127:443-192.168.1.117:50153-TCP,
1760903522478091,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50069.0,A,212.102.113.127:443-192.168.1.117:50069-TCP,
1760903522478138,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50069.0,443.0,A,192.168.1.117:50069-212.102.113.127:443-TCP,
1760903522489414,Ethernet,55,1,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50069.0,443.0,A,192.168.1.117:50069-212.102.113.127:443-TCP,00
1760903522519694,Ethernet,240,198,in,0x0800,68:72:c3:e5:46:54,01:00:5e:00:00:07,4.0,UDP,192.168.1.85,224.0.0.7,8001.0,8001.0,,192.168.1.85:8001-224.0.0.7:8001-UDP,7b2264617461223a7b227631223a7b22757269223a22687474703a2f2f313932
1760903522533695,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50069.0,A,212.102.113.127:443-192.168.1.117:50069-TCP,
1760903522555013,Ethernet,316,262,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,31.57.117.1,192.168.1.117,443.0,58089.0,PA,31.57.117.1:443-192.168.1.117:58089-TCP,1703030101d54f4cdfdf371100bf0e304ba581fa7a8066fa585a416b32542541
1760903522556422,Ethernet,66,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50188.0,443.0,S,192.168.1.117:50188-212.102.113.127:443-TCP,
1760903522596113,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,31.57.117.1,58089.0,443.0,A,192.168.1.117:58089-31.57.117.1:443-TCP,
1760903522601460,Ethernet,66,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50188.0,SA,212.102.113.127:443-192.168.1.117:50188-TCP,
1760903522601813,Ethernet,54,0,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50188.0,443.0,A,192.168.1.117:50188-212.102.113.127:443-TCP,
1760903522604837,Ethernet,550,496,out,0x0800,a8:a1:59:71:54:dc,50:ff:20:5b:3a:9e,4.0,TCP,192.168.1.117,212.102.113.127,50188.0,443.0,PA,192.168.1.117:50188-212.102.113.127:443-TCP,16030101eb010001e7030399fca42d1fe97636db31a215de96ce35e6b24a6a74
1760903522649655,Ethernet,60,0,in,0x0800,50:ff:20:5b:3a:9e,a8:a1:59:71:54:dc,4.0,TCP,212.102.113.127,192.168.1.117,443.0,50188.0,A,212.102.113.127:443-192.168.1.117:50188-TCP,
